,date,guest,qid,certainty_P1480,sourceID,pages,quote,date_imputed
25,1840-06,Jessie Allen de Sismondi,Q94777333,,Darwin1840,,"I have called with this note to beg a favour of you. M. Sismondi, the historian & Madam Sismondi (my wife’s aunt) have just arrived in England and are coming together with Miss Allen to stay with us, would you, therefore, permit us to bring them to the parties, you have been kind enough to ask us to.",1840-06-01
26,1835,Michael Faraday,Q8750,,Dodge1873,240,"Of Faraday, on the contrary, he was an ardent admirer. Among all the guests who used to assemble in Dorset street, and who took part in those delightful entertainments that made Mr. Babbage’s house almost as famous for the flavor of its society as Charles Lamb’s was at an earlier day, no one was more honored than the Secretary of the Royal Institution.",1835-01-01
27,1836-02-20,Michael Faraday,Q8750,,Faraday1993,346,“The information obtained from Mr Babbage on Saturday Evening respecting the Argostoli stream was so far complete that I will not trouble you any further about the matter but write out to Sir Howard Douglas & tell him what we know of the case here & what hands it is in.”,1836-02-20
28,1836-02-20,Mary Somerville,Q268702,,Faraday1993,346,“The information obtained from Mr Babbage on Saturday Evening respecting the Argostoli stream was so far complete that I will not trouble you any further about the matter but write out to Sir Howard Douglas & tell him what we know of the case here & what hands it is in.”,1836-02-20
29,1844,Charles Bennet,Q5075542,presumably Q18122778,Hensel1881,293,"Mr. Babbage gave me for the latter a pamphlet giving an account of his calculating machine, which I have brought to Soden. He gives such evening parties, frequented by all the celebrities – Indian princes, Baron Gerlach, the beauties of the season, Lord Ossulstone, and myself.",1844-01-01
30,1844,Felix Mendelssohn,Q46096,,Hensel1881,293,"Mr. Babbage gave me for the latter a pamphlet giving an account of his calculating machine, which I have brought to Soden. He gives such evening parties, frequented by all the celebrities – Indian princes, Baron Gerlach, the beauties of the season, Lord Ossulstone, and myself.",1844-01-01
31,1844,Ernst Ludwig von Gerlach,Q65780,,Hensel1881,293,"Mr. Babbage gave me for the latter a pamphlet giving an account of his calculating machine, which I have brought to Soden. He gives such evening parties, frequented by all the celebrities – Indian princes, Baron Gerlach, the beauties of the season, Lord Ossulstone, and myself.",1844-01-01
32,1844,Indian princes,Unknown,,Hensel1881,293,"Mr. Babbage gave me for the latter a pamphlet giving an account of his calculating machine, which I have brought to Soden. He gives such evening parties, frequented by all the celebrities – Indian princes, Baron Gerlach, the beauties of the season, Lord Ossulstone, and myself.",1844-01-01
33,1835,Abraham Hayward,Q4668904,,Longfellow1886,204,"spending an evening at Mr. Babbage's, where were Miss Jane Porter, Lady Morgan, Mr. Hayward the translator of Faust, and Mrs. Blackwood and Lady Seymour, the reigning beauties.",1835-01-01
34,1835,Georgiana Seymour,Q5548110,,Longfellow1886,204,"spending an evening at Mr. Babbage's, where were Miss Jane Porter, Lady Morgan, Mr. Hayward the translator of Faust, and Mrs. Blackwood and Lady Seymour, the reigning beauties.",1835-01-01
35,1835,Jane Porter,Q3161890,,Longfellow1886,204,"spending an evening at Mr. Babbage's, where were Miss Jane Porter, Lady Morgan, Mr. Hayward the translator of Faust, and Mrs. Blackwood and Lady Seymour, the reigning beauties.",1835-01-01
36,1835,Helen Blackwood,Q5701894,,Longfellow1886,204,"spending an evening at Mr. Babbage's, where were Miss Jane Porter, Lady Morgan, Mr. Hayward the translator of Faust, and Mrs. Blackwood and Lady Seymour, the reigning beauties.",1835-01-01
37,1835,Sydney Morgan,Q459275,,Longfellow1886,204,"spending an evening at Mr. Babbage's, where were Miss Jane Porter, Lady Morgan, Mr. Hayward the translator of Faust, and Mrs. Blackwood and Lady Seymour, the reigning beauties.",1835-01-01
38,1835,Henry Wadsworth Longfellow,Q152513,,Longfellow1886,204,"spending an evening at Mr. Babbage's, where were Miss Jane Porter, Lady Morgan, Mr. Hayward the translator of Faust, and Mrs. Blackwood and Lady Seymour, the reigning beauties.",1835-01-01
39,1836-06-04,Mary Lyell,Q3296187,,Lyell1881a,466,"We dine to-day (June 4) with the Somervilles, and in the evening Babbage gives one of his evening meetings which are very brilliantly attended by fashionable ladies, as well as literary and scientific gents, and where one meets with persons high in all professions, and with distinguished foreigners.” ",1836-06-04
40,1836-06-04,Charles Lyell,Q5333,,Lyell1881a,466,"We dine to-day (June 4) with the Somervilles, and in the evening Babbage gives one of his evening meetings which are very brilliantly attended by fashionable ladies, as well as literary and scientific gents, and where one meets with persons high in all professions, and with distinguished foreigners.” ",1836-06-04
41,1836-06-04,William Somerville,Q8018611,,Lyell1881b,,"We dine to-day (June 4) with the Somervilles, and in the evening Babbage gives one of his evening meetings which are very brilliantly attended by fashionable ladies, as well as literary and scientific gents, and where one meets with persons high in all professions, and with distinguished foreigners.",1836-06-04
42,1836-06-04,Mary Somerville,Q268702,,Lyell1881b,,"We dine to-day (June 4) with the Somervilles, and in the evening Babbage gives one of his evening meetings which are very brilliantly attended by fashionable ladies, as well as literary and scientific gents, and where one meets with persons high in all professions, and with distinguished foreigners.",1836-06-04
43,1837-05-25,John Taylor,Q6260357,presumably Q18122778,Lyell1881c,13,"At Babbage’s yesterday, there was much talk of Wheatstone’s new plan for telegraphing information by five wires conducting electricity [...] The experiment Mr. J. Taylor said had, according to Wheatstone, conveyed information through a rope five miles long [...]",1837-05-25
44,1837-05-25,Charles Lyell,Q5333,,Lyell1881c,13,"At Babbage’s yesterday, there was much talk of Wheatstone’s new plan for telegraphing information by five wires conducting electricity [...] The experiment Mr. J. Taylor said had, according to Wheatstone, conveyed information through a rope five miles long [...]",1837-05-25
45,1839-03-15,William Macready,Q637374,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
46,1839-03-15,Jane Marcet,Q433093,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
47,1839-03-15,David Wilkie,Q902759,presumably Q18122778,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
48,1839-03-15,Benjamin Hawes,Q4888797,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
49,1839-03-15,Lord Northampton, Q8007034,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
50,1839-03-15,Michael Faraday,Q8750,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
51,1839-03-15,Sidney Smith,Q6182166,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
52,1839-03-15,Francis Chantrey,Q1476802,,Macready1875a,140,"Went to Babbage’s conversazione, where I saw Faraday, Wilkie, Chantrey, Hawes, who told me that the House gave me a lusty cheer on the occasion of Lord John Russell’s mention of my name. Babbage showed me a very curious machine to mark on paper the velocity of a steam-carriage, &c., its shakings both vertical and horizontal: also an effect of the sun’s rays on glass laid over a certain composition, which gives shade all round the object placed between the glass and composition. Sidney Smith, Lord Northampton, Mrs. Marcet, I also Saw.",1839-03-15
53,1840-04-25,Edward Stanley,Q5345414,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
54,1840-04-25,Sidney Smith,Q6182166,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
55,1840-04-25,David Colden,Q98558441,presumably Q18122778,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
56,1840-04-25,William Macready,Q637374,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
57,1840-04-25,William Harness,Q16065697,presumably Q18122778,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
58,1840-04-25,Benjamin Travers,Q4889308,presumably Q18122778,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
59,1840-04-25,Benjamin Hawes,Q4888797,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
60,1840-04-25,Catherine Stepney,Q18575958,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
61,1840-04-25,Henry Hart Milman,Q4269655,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
62,1840-04-25,Charles Wheatstone,Q156942,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
63,1840-04-25,Neil Arnott,Q1398302,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
64,1840-04-25,William Brockedon,Q4019944,,Macready1875b,159,"David Colden came into my room and accompanied me to Babbage’s, where I saw Sidney Smith, Professor Wheatstone, the Brockedons, two or three whom I knew, but not by name, Harness, Travers, Hawes, Lady Stepney, Dr. Arnott Milman, the Bishop of Norwich (Stanley), who wished to be known to me. I had a very interesting conversation with him, a man I admire and reverence so much, speaking with great warmth of the effort I had made and the probable effect it carried out. I was very much pleased with him.",1840-04-25
65,1840-05-09,Catherine Stepney,Q18575958,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
66,1840-05-09,Edward Kater,Q21166109,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
67,1840-05-09,Charles Wheatstone,Q156942,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
68,1840-05-09,Charles Dickens,Q5686,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
69,1840-05-09,Thomas Talfourd,Q2426332,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
70,1840-05-09,William Macready,Q637374,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
71,1840-05-09,Samuel Rogers,Q3471218,,Macready1912,59,"Talfourd came into my room. [...] Dickens came, and we went in his carriage, all three to Babbage's. The room was very much crowded, but I saw few that I knew there – Wheatstone, Edward Kater, Lady Stepney, and Rogers, who invited Dickens and myself to dine with him on Sunday fortnight. Talfourd left us soon; Dickens set me down.",1840-05-09
72,1838,Harriet Martineau,Q234570,,Martineau1855,166,"All were eager to go to his glorious soirées; and I always thought he appeared to great advantage as a host. His patience in explaining his machine in those days was really exemplary. I felt it so, the first time I saw the miracle, as it appeared to me; but I thought so much more, a year or two after, when a lady, to whom he had sacrificed some very precious time, on the supposition that she understood as much as she assumed to do, finished by saying “Now, Mr. Babbage, there is only one thing more that I want to know. If you put the question in wrong, will the answer come out right?” All time and attention devoted to lady examiners of his machine, from that time forward, I regarded as sacrifices of genuine good nature.",1838-01-01
73,1837-04-29,Samuel Rogers,Q3471218,,Moore1983,1866,"From the dinner Rogers & I went together to Babbage’s, where we staid but for a short time & then home",1837-04-29
74,1837-04-29,Thomas Moore,Q315346,,Moore1983,1866,"From the dinner Rogers & I went together to Babbage’s, where we staid but for a short time & then home",1837-04-29
75,1843-02-04,Charles Landseer,Q5080054,presumably,Morgan1862, 474,"We did our Babbage last Saturday (his first of the season), where were all the habitues of the good old times, ‘your slave, but now your slave no longer,’ Rogers, gave me a crush of the hand as he passed me in the crowd, and turned his eyes tenderly on me, whilst I averted mine disdainfully; we looked an illustration of Death and the Lady and I had a mind to ask Landseer, who stood near me, to take it for his next subject.",1843-02-04
76,1843-02-04,Samuel Rogers,Q3471218,,Morgan1862, 474,"We did our Babbage last Saturday (his first of the season), where were all the habitues of the good old times, ‘your slave, but now your slave no longer,’ Rogers, gave me a crush of the hand as he passed me in the crowd, and turned his eyes tenderly on me, whilst I averted mine disdainfully; we looked an illustration of Death and the Lady and I had a mind to ask Landseer, who stood near me, to take it for his next subject.",1843-02-04
77,1843-02-04,Sydney Morgan,Q459275,,Morgan1862, 474,"We did our Babbage last Saturday (his first of the season), where were all the habitues of the good old times, ‘your slave, but now your slave no longer,’ Rogers, gave me a crush of the hand as he passed me in the crowd, and turned his eyes tenderly on me, whilst I averted mine disdainfully; we looked an illustration of Death and the Lady and I had a mind to ask Landseer, who stood near me, to take it for his next subject.",1843-02-04
78,1839-03,Caroline Norton,Q850141,,Perkins1909,156				,"We hear of her again from another American, John Van Buren, son of the President of the United States, who had come to England for the Queen's coronation, and was still lingering there in March of the following year. He met her at a reception at Babbage's, standing in a doorway, talking to Mr. Talfourd. She was very gracious to him and he admired her conversation, but her beauty was so unlike the fragile loveliness of his own countrywomen that he was not entirely pleased with 'that superb lump of flesh,' as Sidney Smith once jokingly called her. [...] It was in the summer of this year, 1839, that the Bill for which she had fought so long [...]",1839-03-01
79,1839-03,Thomas Talfourd,Q2426332,,Perkins1909,156				,"We hear of her again from another American, John Van Buren, son of the President of the United States, who had come to England for the Queen's coronation, and was still lingering there in March of the following year. He met her at a reception at Babbage's, standing in a doorway, talking to Mr. Talfourd. She was very gracious to him and he admired her conversation, but her beauty was so unlike the fragile loveliness of his own countrywomen that he was not entirely pleased with 'that superb lump of flesh,' as Sidney Smith once jokingly called her. [...] It was in the summer of this year, 1839, that the Bill for which she had fought so long [...]",1839-03-01
80,1839-03,John Van Buren,Q6261749,,Perkins1909,156				,"We hear of her again from another American, John Van Buren, son of the President of the United States, who had come to England for the Queen's coronation, and was still lingering there in March of the following year. He met her at a reception at Babbage's, standing in a doorway, talking to Mr. Talfourd. She was very gracious to him and he admired her conversation, but her beauty was so unlike the fragile loveliness of his own countrywomen that he was not entirely pleased with 'that superb lump of flesh,' as Sidney Smith once jokingly called her. [...] It was in the summer of this year, 1839, that the Bill for which she had fought so long [...]",1839-03-01
